academic	adj. 學院的，理論的
accelerate	v. 加速，增速，進行，迫使
accentuate	v. 重讀，強調，
access	n. 接近，通路，入門
accidental	adj. 偶然的， 意外的
acclaim	v. 喝彩，歡呼，稱讚
accommodate	v. 供應，容納
accompany	v. 伴隨，陪伴
accomplice	n.從犯，幫兇，同謀
accomplished	adj. 完成的，熟練的
accost	v. 向人搭話
account	n. 描述，原因，戶頭，賬目
accredit	vt. 歸功於，認為
accumulate	v. 積聚
accurate	adj. 準確的，正確的
accusation	n.控告，指責，譴責
accuse	v. 控告，歸咎
accustom	v. 習慣
achieve	v. 完成，實現，達到
acid	adj.酸的，尖酸的，刻薄的
acknowledge	v. 承認，屬實，供認
acquire	v. 獲得，得到
acquisitive	adj. 貪得無厭的，可獲得的
acquit	adj. 宣告無罪
acrid	adj. 辛辣的，尖刻的， 刻薄的
acrimonious	adj. 尖酸的，刻薄的
acrimony	n. 刻薄，暴烈，尖刻
acting	adj. 代理的
action	n. 作用，行動
active	adj. 活動的，活躍的
actual	adj. 實際的，現行的
acumen	n. 敏銳, 精明，聰明
acute	adj. 敏銳的，急性的
adage	n. 格言，諺語
adapt	v. 使適應，改編
adaptable	adj. 能適應的， 可改寫的
adaptation	n. 適應，改寫
addict	v. 對…有隱，沉溺於...著
addicted	adj. 沉溺的，上癮的
adept	adj.擅長的，熟練的
adequate	adj. 足夠的，充分的
adhere	v. 黏著，粘附，堅持
adherence	n. 依附的，信奉的
adhesive	n. 粘著的，粘著物
adjacent	adj. 鄰近的，附近的，毗連的
adjoin	v. 貼近，靠近
adjoining	adj. 接近的，鄰近的，相連的
adjourn	v. 延期，停止，休會
adjust	v. 調節，使適於
administer	v. 管理，照料， 執行
administration	n. 行政，管理部門
admirable	adj.可敬的，極好的，令人欽佩的
admire	v. 欽佩，讚美，誇獎
admit	v.承認
admonish	v.警告，勸告，提醒
adopt	v. 採用， 收養
adore	v. 敬愛， 極喜愛
adroit	adj. 熟練的，機敏的，靈巧的
advance	n. 提出，前進
adverse	adj. 敵對的，不利的， 相反的
adversity	n. 不幸，逆境
advice	n. 建議， 忠告
advisable	adj. 合理的，可取的，適當的
advise	v. 告知，勸告
advocate	n. 辯護著，擁護
aesthetic	adj. 審美的，美學的
affable	adj. 和藹可親的
affect 	vt. 影響，感動
