Perfidy 不誠實;背信棄義
Perfunctory 敷衍的
Pernicious 有害的/惡性的
Personable 品貌兼具的
Perspicacious 有洞察力的
Peruse 細讀
Pervade 遍佈/彌漫
Petrous 岩石的
Petulant 任性的/易怒的
Philanthropic 慈善的
Philistine 傭俗的
Phlegmatic 冷靜的
Picaresque 浪人的
Pied 斑駁的
Pillory 公開羞辱
Pine 松樹/思念/盼望
Pious 虔誠的/偽善的
Piquant 辛辣的/有趣的
Pique 惹惱/激起
Pith 精髓
Placate 撫慰;和解;懷柔
Plaintive 悲傷的
Plangent 哀淒的
Platitude 陳腔濫調
Plethora 過多
Pluck 拔/摘/彈/救起/勇氣
Plummet 暴跌
Poignant 辛酸的
Polemical 爭論的
Pragmatic 務實的
Prate 嘮叨
Prattle 喋喋不休
Precept 準則
Predilection 偏好
Preempt 先發制人
Preen 精心打扮/洋洋得意
Prescience 預知的
Presumptuous 冒昧的
Prevaricate 搪塞
Pristine 嶄新的
Probity 誠實
Proclivity 癖好
Prodigal 揮霍的/敗家子
Prodigious 龐大的
Profligate 揮霍的/放蕩的
Profuse 豐沛的
Prolific 多產的
Prolix 冗長的
Propensity 傾向
Propinquity 接近/類似
Propitiate 撫慰
Propitious 順利的
Propriety 得體/禮貌
Prosaic 乏味的
Proscribe 禁止
Provident 未雨綢繆的
Puerile 幼稚的
Pugnacious 好鬥的
Punctilious 一絲不苟的
Pundit 專家
Pungent 辛辣的
Pusillanimous 膽怯的
Putrefy 腐爛
Quaff 一飲而盡
Quail 鵪鶉/膽怯
Qualify 合格/修飾
Qualm 憂慮
Querulous 滿腹牢騷的
Quiescence 靜止/沉寂的
Quotidian 日常的
Rail 橫桿/鐵軌/痛斥
Ramify 使分叉
Rancorous 怨恨的
Rapacious 貪婪的
Rarefy 精煉
Rebus 畫謎
Recalcitrant 桀傲不遜的
Recant 公開放棄
Recapitulate 總結
Recondite 深奧的
Reconnoiter 偵察
Recumbent 躺著的
Redolent 使人想起的
Redoubtable 可敬的
Refulgent 光輝的
Refute 駁斥/否認
Regale 宴請/取稅
Relegate 降級
Remonstrate 抗議
Renege 食言
Rent 租/撕裂
Repine 苦惱
Repudiate 駁斥/否認
Rescind 廢除/撤銷
Resolute 堅決的
Reticent 沉默寡言的
Reverent 恭敬的
Rhetoric 花言巧語的
Risible 可笑的
Rubric 規定/題目
Rue 後悔
Sagacious 精明的
Salacious 色情的
Salient 顯著的/突出的
Salubrious 有益健康的
Salutary 有益的
Sanctimony 假裝神聖
Sanction 批准/制裁
Sanguine 樂觀的
Sap 削弱/汁液/傻瓜
Satiate 使滿足/使煩膩
Satire 諷刺
Saturnine 乖戾的
Scurvy 敗血症/卑鄙的
Sedulous 勤奮的
Seine 漁網
Sere 乾枯
Seminal 影響深遠的
Shard 碎片
Simper 傻笑
Sinecure 閒差
Singular 單數的/奇怪的
Sinuous 蜿蜒的
Slake 解除/滿足
Sodden 濕透的
Solder 焊接
