word	file
correspondence	corres02.wav
correspondent	corres04.wav
abet	abet0001.wav
abrogate	abroga01.wav
Torque	torque01.wav
Fell	fell0001.wav
Sedulous	sedulo01.wav
Phlegmatic	phlegm03.wav
Veritable	verita01.wav
Renege	renege01.wav
Sanctimony	sancti05.wav
perversive	perver04.wav
Striated	striat03.wav
Sundry	sundry01.wav
Philanthropic	philan04.wav
test	test0001.wav
Stupefy	stupef02.wav
Untoward	untowa01.wav
Synthesis	synthe01.wav
Peripatetic	peripa01.wav
Turpitude	turpit01.wav
Vaunt	vaunt001.wav
Mettlesome	mettle03.wav
penetrate	penetr06.wav
Sanguine	sangui04.wav
Rarefy	rarefy01.wav
Petulant	petula03.wav
Perennial	perenn04.wav
Malleable	mallea01.wav
Poignant	poigna03.wav
Vituperate	vitupe01.wav
Pied	pied0001.wav
Salient	salien03.wav
Pluck	pluck001.wav
Rhetoric	rhetor03.wav
Redoubtable	redoub03.wav
Dissolution	dissol03.wav
Splenetic	splene03.wav
Terse	terse001.wav
Prodigious	prodig04.wav
Tenuous	tenuou01.wav
Verisimilitude	verisi02.wav
Seine	seine001.wav
Predilection	predil01.wav
Squander	squand01.wav
Recondite	recond02.wav
Stoic	stoic101.wav
Pine	pine0001.wav
Unbraid	unbrai01.wav
Specious	specio02.wav
Succinct	succin02.wav
Turbid	turbid01.wav
Vigilant	vigila02.wav
Redolent	redole02.wav
Personable	person05.wav
Regale	regale01.wav
Perspicacious	perspi01.wav
Provident	provid03.wav
Profuse	profus01.wav
Ostentatious	ostent02.wav
Whimsical	whimsi01.wav
Pernicious	pernic01.wav
Rue	rue00001.wav
Satire	satire01.wav
Welter	welter01.wav
Pique	pique101.wav
Pious	pious001.wav
Inveterate	invete02.wav
Recalcitrant	recalc03.wav
Saturnine	saturn06.wav
Squalid	squali01.wav
Tender	tender01.wav
Solvent	solven02.wav
Sanction	sancti06.wav
Punctilious	puncti02.wav
Supplant	suppla01.wav
Perfunctory	perfun01.wav
Reverent	revere04.wav
Polemical	polemi03.wav
Stentorian	stento02.wav
Waver	waver001.wav
Pillory	pillor01.wav
Recapitulate	recapi03.wav
Transient	transi05.wav
Unfeigned	unfeig01.wav
Propensity	propen03.wav
Plangent	plange02.wav
Indifferent	indiff03.wav
Tractable	tracta01.wav
Pugnacious	pugnac01.wav
Profligate	profli02.wav
Subpoena	subpoe02.wav
Rubric	rubric01.wav
Preempt	preemp01.wav
Tenacity	tenaci02.wav
Rebus	rebus001.wav
Vilify	vilify01.wav
Preen	preen001.wav
Astringent	astrin02.wav
Whet	whet0001.wav
Quiescence	quiesc01.wav
Toady	toady001.wav
Piquant	piquan04.wav
Repudiate	repudi01.wav
Quaff	quaff001.wav
Sinecure	sinecu01.wav
Pristine	pristi01.wav
Sporadic	sporad01.wav
Tout	tout0002.wav
Puerile	pueril01.wav
Proscribe	proscr01.wav
Salutary	saluta01.wav
Sparse	sparse01.wav
Prevaricate	prevar01.wav
Qualify	qualif06.wav
Mince	mince001.wav
Suppliant	suppli02.wav
Salacious	salaci01.wav
Sophomoric	sophom02.wav
Supplicant	suppli03.wav
Soporific	sopori02.wav
Tautology	tautol04.wav
Plaintive	plaint05.wav
Inert	inert001.wav
Tamp	tamp0001.wav
Untenable	untena01.wav
Prolific	prolif07.wav
Precarious	precar01.wav
Pundit	pundit01.wav
Venerate	venera05.wav
Succor	succor01.wav
incondite	incond01.wav
tonsorial	tonsor01.wav
rendezvous	rendez01.wav
Spendthrift	spendt01.wav
Quotidian	quotid01.wav
Umbrage	umbrag01.wav
Convention	conven10.wav
Sordid	sordid01.wav
Tirade	tirade01.wav
Plethora	pletho01.wav
Truculent	trucul03.wav
Travesty	traves01.wav
Repine	repine01.wav
Simper	simper01.wav
Reconnoiter	reconn02.wav
Prosaic	prosai01.wav
Salubrious	salubr01.wav
Tawdry	tawdry01.wav
Stanch	stanch01.wav
Waft	waft0001.wav
Surfeit	surfei01.wav
Peruse	peruse01.wav
Precept	precep01.wav
Refulgent	refulg01.wav
Rent	rent0001.wav
Reticent	retice03.wav
shard	shard001.wav
Spurious	spurio01.wav
Churlish	churli01.wav
pervade	pervad01.wav
reticence	retice01.wav
tacit	tacit001.wav
byzantine	byzant01.wav
rail	rail0001.wav
turgid	turgid01.wav
remonstrate	remons03.wav
remonstrance	remons01.wav
platitude	platit01.wav
plummet	plumme01.wav
damp	damp0001.wav
strut	strut001.wav
sodden	sodden01.wav
precipitate	precip06.wav
satiate	satiat01.wav
consequential	conseq03.wav
sap	sap00001.wav
superfluous	superf14.wav
qualm	qualm002.wav
appropriate	approp01.wav
trenchant	trench03.wav
voracious	voraci01.wav
vexation	vexati01.wav
disinterested	disint09.wav
wend	wend0001.wav
supine	supine01.wav
tumid	tumid001.wav
probity	probit02.wav
torrid	torrid01.wav
eloquent	eloque02.wav
dweller	dwell001.wav
antelope	antelo01.wav
venal	venal001.wav
confound	confou01.wav
prodigal	prodig01.wav
risible	risibl01.wav
recumbent	recumb02.wav
diffident	diffid02.wav
propitiate	propit01.wav
insensible	insens02.wav
singular	singul01.wav
tyro	tyro0001.wav
intimate	intima05.wav
veracity	veraci02.wav
solder	solder01.wav
contentious	conten07.wav
stolid	stolid01.wav
refute	refute01.wav
tendentious	tenden02.wav
taciturn	tacitu01.wav
cardinal	cardin01.wav
pith	pith0001.wav
ramify	ramify01.wav
viscous	viscou05.wav
philistine	philis02.wav
stymie	stymie01.wav
rapacious	rapaci01.wav
prattle	prattl01.wav
ubiquitous	ubiqui03.wav
impassive	impass11.wav
proclivity	procli02.wav
supercilious	superc06.wav
resolute	resolu02.wav
recant	recant01.wav
sophistry	sophis11.wav
putrefy	putref03.wav
vacillate	vacill01.wav
exact	exact001.wav
querulous	querul01.wav
scurvy	scurvy01.wav
propriety	propri06.wav
tortuous	tortuo02.wav
presumptuous	presum09.wav
sere	sere0001.wav
stint	stint001.wav
relegate	relega01.wav
timorous	timoro01.wav
insipid	insipi01.wav
rescind	rescin01.wav
prolix	prolix02.wav
petrous	petrou02.wav
propitious	propit05.wav
torpid	torpid01.wav
pusillanimous	pusill02.wav
flip	flip0001.wav
anodyne	anodyn01.wav
sycophant	sycoph02.wav
sagacious	sagaci01.wav
prate	prate001.wav
usury	usury001.wav
solicitous	solici06.wav
steep	steep001.wav
pungent	pungen02.wav
vitiate	vitiat01.wav
sinuous	sinuou01.wav
virulent	virule04.wav
fawn	fawn0001.wav
rancorous	rancor02.wav
talisman	talism01.wav
pragmatic	pragma01.wav
custody	custod04.wav
dynamo	dynamo01.wav
aliment	alimen01.wav
bathetic	bathet01.wav
bathos	bathos01.wav
solicitation	solici03.wav
truncate	trunca01.wav
benison	beniso01.wav
pugilist	pugili03.wav
prescience	presci01.wav
seminal	semina01.wav
crucible	crucib01.wav
servile	servil01.wav
strap	strap001.wav
propinquity	propin03.wav
picaresque	picare01.wav
quail	quail001.wav
discretion	discre08.wav
vigorish	vigori01.wav
demulcent	demulc01.wav
inspissate	inspis02.wav
concomitant	concom02.wav
compere	comper01.wav
sansculotte	sanscu01.wav
fabulist	fabuli01.wav
perfidy	perfid02.wav
reconnoiter	reconn03.wav
placate	placat02.wav
plumb	plumb001.wav
solicit	solici01.wav
penalty	penalt01.wav
penal	penal001.wav
asylum	asylum01.wav
ataraxia	atara02m.wav
Caduceus	caduce01.wav
herald	herald01.wav
insignia	insign01.wav
signora	signor03.wav
braid	braid001.wav
discreet	discre04.wav
judgmatic	judgma01.wav
injudicious	injudi01.wav
prudent	pruden02.wav
reprimand	reprim01.wav
denunciation	denunc01.wav
valiant	valian03.wav
vulnerable	vulner01.wav
salute	salute01.wav
ordeal	ordeal01.wav
gauntlet	gauntl02.wav
revive	revive01.wav
rapturous	raptur01.wav
cognate	cognat01.wav
ecstatic	ecstat01.wav
ramose	ramose01.wav
beget	beget001.wav
zealous	zealou01.wav
